index,status,uuid,experiment,image,args,cpu_request,memory_request,disk_request,GPU,next_job
1,ready,pak_umass,13684_C2320b_Tri_d21.h5,braingeneers/ephys_pipeline:v0.72,./run.sh,12,32,400,1,None
2,ready,pak_umass,13684_C2320b_Tri_d35.h5,braingeneers/ephys_pipeline:v0.72,./run.sh,12,32,400,1,3/4
3,ready,pak_umass,13684_C2320b_Tri_d42.h5,braingeneers/ephys_pipeline:v0.72,./run.sh,12,32,400,1,None
4,ready,pak_umass,13684_C2320b_Tri_d49.h5,braingeneers/ephys_pipeline:v0.72,./run.sh,12,32,400,1,None
5,ready,pak_umass,13684_C2320b_Tri_d28.h5,braingeneers/ephys_pipeline:v0.72,./run.sh,12,32,400,1,6
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
6,ready,pak_umass,13684_C2320b_Tri_d28.h5,surygeng/si_curation:latest,python si_curation.py,8,32,200,0,None
